Datum,Tid (UTC),Nederbörd,Kvalitet
2019-10-07,18:00:00,regn,Y
2019-10-12,06:00:00,regn,Y
2019-10-14,06:00:00,regn,Y
2019-10-14,18:00:00,regn,Y
2019-10-17,06:00:00,regn,Y
2019-10-17,18:00:00,regn,Y
2019-10-18,06:00:00,regn,Y
2019-10-18,18:00:00,regn,Y
2019-10-19,06:00:00,regn,Y
2019-10-20,06:00:00,regn,Y
2019-10-20,18:00:00,regn,Y
2019-10-25,18:00:00,regnskurar,Y
2019-10-26,06:00:00,regn,Y
2019-10-26,18:00:00,regn,Y
2019-11-02,18:00:00,regn,Y
2019-11-03,06:00:00,regn,Y
2019-11-07,18:00:00,regn,Y
2019-11-08,06:00:00,regn,Y
2019-11-08,18:00:00,regn,Y
2019-11-09,06:00:00,regn,Y
2019-11-09,18:00:00,regn,Y
2019-11-10,06:00:00,regn,Y
2019-11-10,18:00:00,byar av snöblandat regn,Y
2019-11-11,18:00:00,byar av snöblandat regn,Y
2019-11-12,18:00:00,regn,Y
2019-11-13,06:00:00,duggregn,Y
2019-11-13,18:00:00,regn,Y
2019-11-14,06:00:00,duggregn,Y
2019-11-14,18:00:00,regn,Y
2019-11-16,06:00:00,duggregn,Y
2019-11-16,18:00:00,duggregn,Y
2019-11-17,06:00:00,regn,Y
2019-11-18,18:00:00,duggregn,Y
2019-11-19,06:00:00,duggregn,Y
2019-11-19,18:00:00,regn,Y
2019-11-20,06:00:00,regn,Y
2019-11-21,06:00:00,duggregn,Y
2019-11-21,18:00:00,duggregn,Y
2019-11-22,06:00:00,regn,Y
2019-11-22,18:00:00,regn,Y
2019-11-23,06:00:00,regn,Y
2019-11-26,18:00:00,duggregn,Y
2019-11-27,06:00:00,regn,Y
2019-11-27,18:00:00,duggregn,Y
2019-11-28,06:00:00,regn,Y
2019-11-28,18:00:00,regn,Y
2019-11-29,06:00:00,snowfall,Y
2019-11-29,18:00:00,snowfall,Y
2019-12-03,18:00:00,regn,Y
2019-12-06,06:00:00,regn,Y
2019-12-06,18:00:00,regn,Y
2019-12-07,06:00:00,regn,Y
2019-12-07,18:00:00,regn,Y
2019-12-08,18:00:00,regn,Y
2019-12-09,06:00:00,duggregn,Y
2019-12-10,06:00:00,snowfall,Y
2019-12-11,06:00:00,regn,Y
2019-12-11,18:00:00,regn,Y
2019-12-12,06:00:00,regn,Y
2019-12-12,18:00:00,duggregn,Y
2019-12-13,18:00:00,duggregn,Y
2019-12-14,06:00:00,duggregn,Y
2019-12-14,18:00:00,regn,Y
2019-12-15,06:00:00,regn,Y
2019-12-16,06:00:00,regn,Y
2019-12-16,18:00:00,regn,Y
2019-12-17,06:00:00,regn,Y
2019-12-17,18:00:00,regn,Y
2019-12-18,18:00:00,snöblandat regn,Y
2019-12-20,06:00:00,regn,Y
2019-12-20,18:00:00,duggregn,Y
2019-12-21,06:00:00,duggregn,Y
2019-12-21,18:00:00,duggregn,Y
2019-12-22,06:00:00,regn,Y
2019-12-24,18:00:00,duggregn,Y
2019-12-25,06:00:00,regn,Y
2019-12-25,18:00:00,duggregn,Y
2019-12-26,06:00:00,regn,Y
2019-12-28,06:00:00,snowfall,Y
2019-12-28,18:00:00,snowfall,Y
2019-12-29,06:00:00,snowfall,Y
2020-01-05,18:00:00,snowfall,Y
2020-01-06,06:00:00,regn,Y
2020-01-06,18:00:00,regn,Y
2020-01-07,06:00:00,regn,Y
2020-01-10,06:00:00,regn,Y
2020-01-11,18:00:00,regn,Y
2020-01-14,18:00:00,regn,Y
2020-01-15,06:00:00,regn,Y
2020-01-15,18:00:00,regnskurar,Y
2020-01-18,18:00:00,regn,Y
2020-01-28,06:00:00,regnskurar,Y
2020-01-28,18:00:00,regn,Y
2020-01-29,06:00:00,regn,Y
2020-01-29,18:00:00,regnskurar,Y
2020-01-31,18:00:00,duggregn,Y
2020-02-01,06:00:00,duggregn,Y
2020-02-01,18:00:00,regn,Y
2020-02-02,06:00:00,regn,Y
2020-02-02,18:00:00,regn,Y
2020-02-05,06:00:00,snöbyar,Y
2020-02-05,18:00:00,kornsnö,Y
2020-02-09,06:00:00,regn,Y
2020-02-09,18:00:00,regn,Y
2020-02-10,06:00:00,regn,Y
2020-02-10,18:00:00,regn,Y
2020-02-12,18:00:00,regnskurar,Y
2020-02-15,06:00:00,duggregn,Y
2020-02-16,06:00:00,regn,Y
2020-02-17,06:00:00,regn,Y
