Datum,Tid (UTC),Nederbörd,Kvalitet
2023-01-05,06:00:00,snöbyar,Y
2023-01-05,18:00:00,snowfall,Y
2023-01-06,06:00:00,snowfall,Y
2023-01-06,18:00:00,snowfall,Y
2023-01-07,06:00:00,snowfall,Y
2023-01-07,18:00:00,snöblandat regn,Y
2023-01-08,06:00:00,regn,Y
2023-01-08,18:00:00,regn,Y
2023-01-10,06:00:00,regn,Y
2023-01-10,18:00:00,duggregn,Y
2023-01-11,18:00:00,regn,Y
2023-01-12,18:00:00,regn,Y
2023-01-13,18:00:00,regn,Y
2023-01-14,06:00:00,duggregn,Y
2023-01-14,18:00:00,regn,Y
2023-01-15,06:00:00,regn,Y
2023-01-15,18:00:00,regn,Y
2023-01-16,06:00:00,regn,Y
2023-01-17,18:00:00,regn,Y
2023-01-18,06:00:00,regnskurar,Y
2023-01-20,18:00:00,regn,Y
2023-01-21,18:00:00,kornsnö,Y
2023-01-25,06:00:00,regn,Y
2023-01-26,06:00:00,duggregn,Y
2023-01-26,18:00:00,regn,Y
2023-01-29,18:00:00,duggregn,Y
2023-02-01,18:00:00,snöblandat regn,Y
2023-02-02,06:00:00,snowfall,Y
2023-02-06,06:00:00,snöbyar,Y
2023-02-11,06:00:00,snöblandat regn,Y
2023-02-13,06:00:00,regn,Y
2023-02-17,18:00:00,regn,Y
2023-02-18,06:00:00,regn,Y
2023-02-20,18:00:00,regn,Y
2023-02-21,18:00:00,snowfall,Y
2023-02-23,06:00:00,snöblandat regn,Y
2023-02-23,18:00:00,snöblandat regn,Y
2023-02-25,06:00:00,snowfall,Y
2023-02-26,06:00:00,snowfall,Y
2023-03-05,18:00:00,snöhagel,Y
2023-03-06,06:00:00,snowfall,Y
2023-03-07,18:00:00,snowfall,Y
2023-03-08,06:00:00,snowfall,Y
2023-03-08,18:00:00,snowfall,Y
2023-03-10,06:00:00,snowfall,Y
2023-03-13,18:00:00,snöblandat regn,Y
2023-03-14,18:00:00,duggregn,Y
2023-03-15,06:00:00,snöblandat regn,Y
2023-03-18,06:00:00,regn,Y
2023-03-18,18:00:00,regn,Y
2023-03-19,06:00:00,regn,Y
2023-03-20,06:00:00,regn,Y
2023-03-20,18:00:00,regn,Y
2023-03-22,06:00:00,regn,Y
2023-03-22,18:00:00,regn,Y
2023-03-24,18:00:00,regn,Y
2023-03-25,06:00:00,regn,Y
2023-03-25,18:00:00,snöblandat regn,Y
2023-03-26,06:00:00,snowfall,Y
2023-03-27,06:00:00,snowfall,Y
2023-03-27,18:00:00,snowfall,Y
2023-03-28,06:00:00,snowfall,Y
2023-03-28,18:00:00,snowfall,Y
2023-03-29,18:00:00,snowfall,Y
2023-03-30,18:00:00,snöblandat regn,Y
2023-04-05,18:00:00,snowfall,Y
2023-04-06,06:00:00,snöblandat regn,Y
2023-04-07,06:00:00,snöblandat regn,Y
2023-04-13,06:00:00,regn,Y
2023-04-13,18:00:00,regn,Y
2023-04-14,06:00:00,regn,Y
2023-04-23,18:00:00,regn,Y
2023-04-24,06:00:00,regn,Y
2023-04-24,18:00:00,duggregn,Y
2023-04-25,06:00:00,regn,Y
2023-04-25,18:00:00,regn,Y
2023-04-28,06:00:00,regn,Y
2023-04-29,18:00:00,regn,Y
2023-05-01,18:00:00,regn,Y
2023-05-02,06:00:00,regn,Y
2023-05-03,18:00:00,duggregn,Y
